"Pin Information for the Stratix® V 5SGSD5 Device
 Version 1.1
 Note (1)"													
Bank Number	VREF	Pin Name/Function (2)	Optional Function(s)	Configuration Function	Dedicated Tx/Rx Channel	Emulated LVDS Output Channel	F1152	DQS for X4	DQS for X8/X9 	DQS for X16/ X18	DQS for X32/ X36 									
GXB_L1		REFCLK3Lp					N28													
GXB_L1		REFCLK3Ln					N29													
GXB_L1		GXB_TX_L11n					H32													
GXB_L1		GXB_TX_L11p					H31													
GXB_L1		"GXB_RX_L11n,GXB_REFCLK_L11n"					J34													
GXB_L1		"GXB_RX_L11p,GXB_REFCLK_L11p"					J33													
GXB_L1		GXB_TX_L10n					K32													
GXB_L1		GXB_TX_L10p					K31													
GXB_L1		"GXB_RX_L10n,GXB_REFCLK_L10n"					L34													
GXB_L1		"GXB_RX_L10p,GXB_REFCLK_L10p"					L33													
GXB_L1		GXB_TX_L9n					M32													
GXB_L1		GXB_TX_L9p					M31													
GXB_L1		"GXB_RX_L9n,GXB_REFCLK_L9n"					N34													
GXB_L1		"GXB_RX_L9p,GXB_REFCLK_L9p"					N33													
GXB_L1		GXB_TX_L8n					P32													
GXB_L1		GXB_TX_L8p					P31													
GXB_L1		"GXB_RX_L8n,GXB_REFCLK_L8n"					R34													
GXB_L1		"GXB_RX_L8p,GXB_REFCLK_L8p"					R33													
GXB_L1		GXB_TX_L7n					T32													
GXB_L1		GXB_TX_L7p					T31													
GXB_L1		"GXB_RX_L7n,GXB_REFCLK_L7n"					U34													
GXB_L1		"GXB_RX_L7p,GXB_REFCLK_L7p"					U33													
GXB_L1		GXB_TX_L6n					V32													
GXB_L1		GXB_TX_L6p					V31													
GXB_L1		"GXB_RX_L6n,GXB_REFCLK_L6n"					W34													
GXB_L1		"GXB_RX_L6p,GXB_REFCLK_L6p"					W33													
GXB_L1		REFCLK2Lp					R29													
GXB_L1		REFCLK2Ln					R30													
GXB_L0		REFCLK1Lp					U28													
GXB_L0		REFCLK1Ln					U29													
GXB_L0		GXB_TX_L5n					Y32													
GXB_L0		GXB_TX_L5p					Y31													
GXB_L0		"GXB_RX_L5n,GXB_REFCLK_L5n"					AA34													
GXB_L0		"GXB_RX_L5p,GXB_REFCLK_L5p"					AA33													
GXB_L0		GXB_TX_L4n					AB32													
GXB_L0		GXB_TX_L4p					AB31													
GXB_L0		"GXB_RX_L4n,GXB_REFCLK_L4n"					AC34													
GXB_L0		"GXB_RX_L4p,GXB_REFCLK_L4p"					AC33													
GXB_L0		GXB_TX_L3n					AD32													
GXB_L0		GXB_TX_L3p					AD31													
GXB_L0		"GXB_RX_L3n,GXB_REFCLK_L3n"					AE34													
GXB_L0		"GXB_RX_L3p,GXB_REFCLK_L3p"					AE33													
GXB_L0		GXB_TX_L2n					AF32													
GXB_L0		GXB_TX_L2p					AF31													
GXB_L0		"GXB_RX_L2n,GXB_REFCLK_L2n"					AG34													
GXB_L0		"GXB_RX_L2p,GXB_REFCLK_L2p"					AG33													
GXB_L0		GXB_TX_L1n					AH32													
GXB_L0		GXB_TX_L1p					AH31													
GXB_L0		"GXB_RX_L1n,GXB_REFCLK_L1n"					AJ34													
GXB_L0		"GXB_RX_L1p,GXB_REFCLK_L1p"					AJ33													
GXB_L0		GXB_TX_L0n					AK32													
GXB_L0		GXB_TX_L0p					AK31													
GXB_L0		"GXB_RX_L0n,GXB_REFCLK_L0n"					AL34													
GXB_L0		"GXB_RX_L0p,GXB_REFCLK_L0p"					AL33													
GXB_L0		REFCLK0Lp					W29													
GXB_L0		REFCLK0Ln					W30													
3A		nCONFIG		nCONFIG			AE30													
3A		TRST		TRST			Y27													
3A		TMS		TMS			AJ30													
3A		TCK		TCK			AN31													
3A		TDI		TDI			AL29													
3A		TDO		TDO			AK29													
3A		nCSO		nCSO			AC27													
3A		AS_DATA3		AS_DATA3			AF27													
3A		AS_DATA2		AS_DATA2			AC28													
3A		AS_DATA1		AS_DATA1			AA29													
3A		"AS_DATA0,ASDO"		"AS_DATA0,ASDO"			AF28													
3A		DCLK		DCLK			AB28													
